,,,,,,Scoring,,,,,Goals,,,,Assists,,,,,Ice Time,,,,,,
Rk,Player,Age,Pos,Tm,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
173,Phillip Danault\danauph01,23,LW,MTL,74,11,24,35,0,28,11,0,0,3,21,2,1,115,9.6,1151,15:33,50,75,475,445,51.6
174,Cam Fowler\fowleca01,25,D,ANA,74,11,24,35,5,20,5,5,1,3,16,7,1,172,6.4,1843,24:54,126,28,0,0,
175,P.K. Subban\subbapk01,27,D,NSH,57,8,27,35,-2,44,5,3,0,2,14,12,1,127,6.3,1394,24:27,94,71,0,0,
176,Tobias Rieder\riedeto01,24,RW,ARI,72,16,18,34,-6,6,13,2,1,1,13,4,1,140,11.4,1258,17:28,31,20,4,9,30.8
177,Anthony Mantha\manthan01,22,RW,DET,56,15,19,34,11,48,14,1,0,3,17,2,0,128,11.7,909,16:14,32,45,5,6,45.5
178,Scott Hartnell\hartnsc01,34,LW,CBJ,70,13,21,34,14,59,11,2,0,1,20,1,0,92,14.1,839,11:59,34,72,3,3,50.0
179,Mark Giordano\giordma01,33,D,CGY,74,12,22,34,24,54,7,3,2,4,12,9,1,136,8.8,1755,23:43,171,72,0,0,
180,Tyson Barrie\barrity01,25,D,COL,65,6,28,34,-29,16,6,0,0,2,20,8,0,158,3.8,1515,23:18,66,29,0,0,
181,Kris Letang\letankr01,29,D,PIT,41,5,29,34,2,32,3,2,0,2,16,12,1,122,4.1,1046,25:31,70,70,0,0,
182,Brady Skjei\skjeibr01,22,D,NYR,73,4,30,34,15,42,4,0,0,0,25,5,0,116,3.4,1251,17:08,62,126,0,1,0.0
183,Sven Baertschi\baertsv01,24,LW,VAN,61,17,16,33,-4,6,15,2,0,5,12,4,0,103,16.5,952,15:37,26,48,1,0,100.0
184,Mikko Rantanen\rantami01,20,RW,COL,68,16,17,33,-29,20,12,4,0,2,11,6,0,117,13.7,1223,17:59,26,26,21,14,60.0
185,Mark Letestu\letesma01,31,C,EDM,71,15,18,33,-1,17,3,10,2,6,15,2,1,106,14.2,1002,14:07,29,66,416,403,50.8
186,Frans Nielsen\nielsfr01,32,C,DET,70,14,19,33,-17,16,8,4,2,0,10,9,0,144,9.7,1200,17:08,49,59,577,492,54.0
187,Max Domi\domima01,21,LW,ARI,51,9,24,33,-12,38,8,1,0,1,20,4,0,100,9.0,871,17:04,18,28,4,4,50.0
188,Andrej Sekera\sekeran01,30,D,EDM,72,8,25,33,10,18,6,1,1,1,17,8,0,113,7.1,1552,21:33,145,47,0,0,
189,Nikita Zaitsev\zaitsni01,25,D,TOR,73,4,29,33,-20,34,3,1,0,0,20,8,1,99,4.0,1629,22:19,122,161,0,0,
190,Markus Granlund\granlma01,23,C,VAN,69,19,13,32,-19,14,16,3,0,3,9,4,0,122,15.6,1194,17:19,11,32,40,61,39.6
191,Martin Hanzal\hanzama01,29,C,TOT,62,17,15,32,-19,49,13,4,0,2,11,4,0,151,11.3,1119,18:03,53,128,676,542,55.5
