,,,,,,Scoring,,,,,Goals,,,,Assists,,,,,Ice Time,,,,,,
Rk,Player,Age,Pos,Tm,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
811,Casey Nelson\nelsoca01,24,D,BUF,11,0,0,0,-3,4,0,0,0,0,0,0,0,10,0.0,139,12:36,5,15,0,0,
812,Aaron Ness\nessaa01,26,D,WSH,2,0,0,0,-1,0,0,0,0,0,0,0,0,0,,26,12:50,2,2,0,0,
813,Cristoval Nieves\nievecr01,23,C,NYR,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,,12,11:44,1,0,3,7,30.0
814,Nelson Nogier\nogiene01,20,D,WPG,3,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,38,12:30,1,7,0,0,
815,Tomas Nosek\nosekto01,24,LW,DET,3,0,0,0,1,2,0,0,0,0,0,0,0,10,0.0,30,10:08,0,5,11,6,64.7
816,Liam O'Brien\obrieli01,22,LW,WSH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,6,6:08,0,1,0,0,
817,Rob O'Gara\ogararo01,23,D,BOS,3,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,48,16:01,7,3,0,0,
818,Daniel O'Regan\oregada01,23,C,SJS,2,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,21,10:23,1,0,8,10,44.4
819,Jordan Oesterle\oestejo01,24,D,EDM,2,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,35,17:17,3,2,0,0,
820,Adam Pardy\pardyad01,32,D,NSH,4,0,0,0,-1,6,0,0,0,0,0,0,0,4,0.0,44,10:00,3,3,0,0,
821,Blake Pietila\pietibl01,23,LW,NJD,7,0,0,0,-6,4,0,0,0,0,0,0,0,5,0.0,87,12:29,3,13,22,21,51.2
822,Derrick Pouliot\poulide01,23,D,PIT,10,0,0,0,-4,4,0,0,0,0,0,0,0,10,0.0,144,14:25,8,13,0,0,
823,Ryan Pulock\pulocry01,22,D,NYI,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,4,3:57,1,1,0,0,
824,Mason Raymond\raymoma01,31,LW,ANA,4,0,0,0,-2,0,0,0,0,0,0,0,0,3,0.0,36,8:55,0,3,0,1,0.0
825,Borna Rendulic\rendubo01,24,RW,VAN,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,5,4:51,0,0,0,0,
826,Tanner Richard\richata01,23,C,TBL,3,0,0,0,-2,2,0,0,0,0,0,0,0,1,0.0,38,12:42,2,6,13,17,43.3
827,Buddy Robinson\robinbu01,25,RW,OTT,4,0,0,0,0,2,0,0,0,0,0,0,0,4,0.0,28,6:57,0,9,0,0,
828,Kevin Rooney\rooneke01,23,C,NJD,4,0,0,0,-3,4,0,0,0,0,0,0,0,2,0.0,41,10:11,1,4,10,17,37.0
829,Robbie Russo\russoro01,23,D,DET,10,0,0,0,-2,0,0,0,0,0,0,0,0,5,0.0,155,15:28,7,10,0,0,
830,Miikka Salomaki\salommi01,23,RW,NSH,2,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,19,9:34,5,6,0,0,
831,Jordan Schmaltz\schmajo01,23,D,STL,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,27,13:38,0,2,0,0,
832,Mikhail Sergachev\sergami01,18,D,MTL,3,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,31,10:26,2,7,0,0,
833,Dillon Simpson\simpsdi01,,D,EDM,3,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,33,10:53,2,3,0,0,
834,Trevor Smith\smithtr01,31,C,NSH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,7,7:20,2,0,0,8,0.0
835,Blake Speers\speerbl01,20,C,NJD,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,28,9:29,1,1,0,2,0.0
836,Chandler Stephenson\stephch02,22,C,WSH,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,26,8:45,0,0,11,7,61.1
837,Oskar Sundqvist\sundqos01,22,C,PIT,7,0,0,0,0,2,0,0,0,0,0,0,0,7,0.0,59,8:23,1,11,6,14,30.0
838,Nate Thompson\thompna01,32,C,ANA,23,0,0,0,1,9,0,0,0,0,0,0,0,16,0.0,240,10:26,8,56,99,92,51.8
839,Corey Tropp\troppco01,27,RW,ANA,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,,9,9:28,0,2,0,0,
840,Alex Tuch\tuchal01,20,RW,MIN,6,0,0,0,-3,0,0,0,0,0,0,0,0,8,0.0,64,10:42,7,5,0,0,
841,T.J. Tynan\tynant.01,24,RW,CBJ,3,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,22,7:29,1,1,0,0,
842,Phil Varone\varonph01,26,C,OTT,7,0,0,0,-3,2,0,0,0,0,0,0,0,1,0.0,56,7:59,1,3,15,12,55.6
843,Linden Vey\veyli01,25,RW,CGY,4,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,44,11:01,0,1,9,15,37.5
844,David Warsofsky\warsoda01,26,D,PIT,6,0,0,0,-2,6,0,0,0,0,0,0,0,11,0.0,91,15:10,8,3,0,0,
845,Tyler Wotherspoon\wothety01,23,D,CGY,4,0,0,0,-2,0,0,0,0,0,0,0,0,4,0.0,44,10:54,2,3,0,0,
846,Michael Zalewski\zalewmi01,24,LW,VAN,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,,8,8:03,1,0,0,0,
