Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
94,Jordan Crawford\crawfjo02,SG,28,NOP,9,0,21.3,5.2,10.3,.505,2.6,5.3,.479,2.7,5.0,.533,.629,0.6,0.8,.714,0.2,1.9,2.1,2.3,0.4,0.0,1.2,1.6,13.6
95,Jae Crowder\crowdja01,SF,26,BOS,63,63,32.3,4.5,9.9,.453,2.2,5.5,.397,2.3,4.4,.523,.563,2.4,2.9,.844,0.6,5.2,5.8,2.2,1.0,0.3,1.0,2.2,13.6
96,Dante Cunningham\cunnida01,SF,29,NOP,56,29,25.3,2.5,5.4,.461,1.0,2.8,.377,1.5,2.7,.547,.556,0.3,0.4,.609,0.8,3.4,4.2,0.6,0.6,0.4,0.5,1.5,6.3
97,Seth Curry\curryse01,PG,26,DAL,68,40,29.1,4.8,10.1,.479,1.9,4.6,.422,2.9,5.5,.527,.575,1.2,1.4,.842,0.4,2.2,2.6,2.7,1.1,0.1,1.4,1.8,12.8
98,Stephen Curry\curryst01,PG,28,GSW,70,70,33.4,8.4,18.1,.463,4.0,9.9,.400,4.4,8.2,.540,.573,4.2,4.5,.918,0.8,3.7,4.5,6.4,1.8,0.2,3.0,2.3,24.9
99,Troy Daniels\danietr01,SG,25,MEM,57,3,17.0,2.7,7.1,.376,2.0,5.2,.388,0.7,2.0,.345,.516,0.7,0.9,.800,0.3,1.1,1.4,0.6,0.4,0.1,0.7,1.4,8.1
100,Anthony Davis\davisan02,C,23,NOP,68,68,36.2,10.1,20.1,.503,0.5,1.7,.304,9.6,18.4,.522,.516,7.0,8.8,.797,2.3,9.6,11.9,2.1,1.2,2.2,2.5,2.3,27.8
101,Deyonta Davis\davisde01,C,20,MEM,30,0,6.4,0.7,1.4,.537,0.0,0.0,,0.7,1.4,.537,.537,0.3,0.6,.556,0.6,1.2,1.7,0.1,0.0,0.5,0.3,1.0,1.8
102,Ed Davis\davised01,PF,27,POR,46,12,17.2,1.6,3.1,.528,0.0,0.0,,1.6,3.1,.528,.528,1.1,1.8,.617,2.1,3.2,5.3,0.6,0.3,0.5,0.8,3.0,4.3
103,Dewayne Dedmon\dedmode01,C,27,SAS,66,27,17.4,2.2,3.3,.648,0.0,0.0,,2.2,3.3,.648,.648,0.9,1.2,.728,1.6,4.8,6.4,0.6,0.5,0.8,0.8,2.4,5.2
104,Sam Dekker\dekkesa01,SF,22,HOU,72,1,18.3,2.7,5.7,.473,0.8,2.5,.313,1.9,3.2,.597,.541,0.5,0.9,.561,1.3,2.4,3.7,1.0,0.5,0.3,0.6,1.1,6.7
105,Malcolm Delaney\delanma01,PG,27,ATL,68,2,17.2,2.0,5.4,.374,0.3,1.5,.228,1.7,3.9,.430,.405,1.0,1.2,.786,0.2,1.5,1.7,2.6,0.5,0.0,1.3,1.6,5.3
106,Matthew Dellavedova\dellama01,PG,26,MIL,67,49,26.4,2.7,7.0,.388,1.0,2.8,.366,1.7,4.3,.402,.460,1.1,1.4,.846,0.3,1.6,2.0,4.8,0.7,0.0,1.8,1.9,7.6
107,Luol Deng\denglu01,SF,31,LAL,56,49,26.5,2.9,7.6,.386,0.9,2.9,.311,2.0,4.7,.433,.446,0.8,1.1,.730,1.1,4.1,5.3,1.3,0.9,0.4,0.8,1.1,7.6
108,DeMar DeRozan\derozde01,SG,27,TOR,66,66,35.4,9.7,20.9,.465,0.4,1.7,.257,9.3,19.2,.484,.476,7.2,8.5,.847,1.0,4.4,5.3,3.8,1.1,0.2,2.4,1.8,27.1
109,Cheick Diallo\diallch01,PF,20,NOP,11,0,8.8,1.5,3.7,.415,0.0,0.0,,1.5,3.7,.415,.415,0.6,0.9,.700,1.2,1.9,3.1,0.3,0.3,0.3,0.2,0.8,3.7
110,Boris Diaw\diawbo01,PF,34,UTA,64,24,17.5,1.9,4.5,.435,0.3,1.1,.250,1.7,3.3,.498,.467,0.3,0.5,.710,0.6,1.4,2.1,2.2,0.2,0.1,1.3,1.1,4.5
111,Gorgui Dieng\dienggo01,PF,27,MIN,72,72,31.9,4.1,8.1,.502,0.2,0.5,.333,3.9,7.6,.513,.512,1.6,2.0,.800,2.3,5.5,7.8,1.8,1.1,1.1,1.3,3.1,9.9
112,Spencer Dinwiddie\dinwisp01,PG,23,BRK,49,17,22.6,2.2,5.1,.427,0.6,1.6,.368,1.6,3.5,.453,.484,2.0,2.5,.782,0.4,2.3,2.7,3.2,0.6,0.4,1.2,2.1,6.9
113,Toney Douglas\douglto01,PG,30,MEM,24,0,16.4,1.8,4.9,.368,0.3,1.8,.167,1.5,3.1,.480,.397,1.0,1.2,.828,0.5,2.0,2.5,2.3,0.8,0.2,0.9,2.1,4.9
114,Goran Dragic\dragigo01,PG,30,MIA,63,63,33.4,7.2,15.2,.476,1.7,4.0,.418,5.6,11.2,.497,.531,4.0,5.0,.791,0.9,3.0,3.9,5.9,1.2,0.2,2.9,2.7,20.1
115,Andre Drummond\drumman01,C,23,DET,72,72,30.1,6.3,11.8,.532,0.0,0.1,.286,6.3,11.7,.534,.534,1.8,4.5,.396,4.3,9.7,14.0,1.0,1.6,1.1,1.9,2.9,14.4
116,Jared Dudley\dudleja01,PF,31,PHO,56,7,20.7,2.3,5.0,.461,1.1,3.0,.383,1.2,2.1,.574,.574,0.6,0.9,.604,0.5,2.8,3.3,1.7,0.6,0.3,1.1,2.4,6.4
117,Mike Dunleavy\dunlemi02,SF,36,TOT,44,2,16.1,1.8,4.2,.432,1.0,2.6,.398,0.8,1.6,.486,.555,0.6,0.8,.771,0.3,1.9,2.3,1.0,0.3,0.1,0.6,1.3,5.2
117,Mike Dunleavy\dunlemi02,SF,36,CLE,23,2,15.9,1.6,3.9,.400,0.9,2.5,.351,0.7,1.4,.485,.511,0.6,0.8,.737,0.2,1.8,2.0,0.9,0.3,0.1,0.6,1.4,4.6
117,Mike Dunleavy\dunlemi02,SF,36,ATL,21,0,16.2,2.0,4.4,.462,1.2,2.7,.446,0.9,1.8,.486,.597,0.6,0.8,.813,0.4,2.0,2.5,1.0,0.3,0.1,0.6,1.1,5.9
118,Kris Dunn\dunnkr01,PG,22,MIN,68,6,16.9,1.5,4.0,.386,0.3,1.0,.303,1.3,3.0,.413,.423,0.5,0.8,.600,0.3,1.9,2.2,2.3,0.9,0.5,1.2,2.2,3.9
119,Kevin Durant\duranke01,SF,28,GSW,59,59,33.6,8.9,16.7,.537,1.9,5.0,.378,7.1,11.6,.606,.594,5.5,6.3,.876,0.6,7.6,8.2,4.8,1.1,1.6,2.3,1.9,25.3
120,Jarell Eddie\eddieja01,SF,25,PHO,3,0,14.0,1.3,3.3,.400,0.7,2.7,.250,0.7,0.7,1.000,.500,2.3,2.3,1.000,0.3,1.3,1.7,0.0,0.3,0.0,0.3,0.3,5.7
121,Henry Ellenson\ellenhe01,PF,20,DET,14,0,4.0,0.6,1.6,.348,0.3,1.0,.286,0.3,0.6,.444,.435,0.1,0.1,1.000,0.1,0.7,0.9,0.3,0.0,0.0,0.4,0.2,1.5
122,Wayne Ellington\ellinwa01,SG,29,MIA,52,13,25.1,3.9,9.4,.421,2.5,6.6,.377,1.5,2.8,.524,.553,0.7,0.8,.875,0.3,1.8,2.2,1.2,0.6,0.1,0.5,1.2,11.0
123,Monta Ellis\ellismo01,SG,31,IND,64,23,26.8,3.4,7.6,.451,0.6,1.8,.336,2.8,5.8,.485,.490,1.4,1.8,.744,0.2,2.5,2.7,3.3,0.9,0.3,1.8,2.0,8.8
124,Joel Embiid\embiijo01,C,22,PHI,31,31,25.4,6.5,13.8,.466,1.2,3.2,.367,5.3,10.7,.495,.508,6.2,7.9,.783,2.0,5.9,7.8,2.1,0.9,2.5,3.8,3.6,20.2
125,James Ennis\ennisja01,SF,26,MEM,56,24,23.1,2.3,4.9,.462,0.8,2.1,.392,1.4,2.8,.516,.547,1.4,1.8,.792,1.1,2.7,3.8,0.9,0.7,0.3,0.9,2.6,6.8
126,Tyler Ennis\ennisty01,PG,22,TOT,43,0,7.5,1.1,2.6,.407,0.2,0.7,.333,0.8,1.9,.434,.451,0.2,0.3,.909,0.2,0.5,0.8,1.2,0.3,0.0,0.7,1.0,2.6
